"row_id","repayment_rate"
0,41.844682921125
1,45.451980727256
2,33.2724236856718
9,77.41024924331
10,65.9675170398132
14,67.3887350951368
16,15.7967533828732
18,70.8328345574968
20,62.6603203646779
21,65.7374770019598
22,28.7303646333519
25,52.4321666212533
29,60.3659390860535
30,45.0823253051057
32,72.5797848035594
34,30.3584027288836
37,27.9576420565577
41,46.7881188088068
44,68.8131822080592
45,66.4576741852603
46,56.4024109070458
47,62.9713838017681
51,61.8469964733477
57,52.8580534505723
59,55.0969116360053
62,50.2374247911115
65,41.0193820372104
66,59.5212473819832
67,37.5642611607507
69,67.562950777885
74,70.5285147914253
76,36.993640762701
77,53.9440214579045
78,64.8969156180125
79,72.6743945753563
81,62.70835767656
82,23.5341569001441
86,72.8507018399028
90,41.4346664184484
91,76.6880957566405
92,78.5911981619055
96,75.4332236008116
97,74.6594658036862
100,66.7916599636307
107,71.20725084245
110,42.608197474855
112,61.9419705524931
115,53.8138728362545
116,45.4781443155809
120,50.49581370041
121,63.9989462166599
123,87.434125432896
126,77.7133495528581
127,65.8730414257067
129,43.0189260936444
130,52.3932639951526
133,45.0497701183035
134,46.3184513589506
135,65.3291539428924
136,52.7969939136238
137,37.2758051235549
139,80.6081987075634
141,21.6600083180866
142,55.7030538617901
146,75.8617241476448
150,89.0764171629238
153,71.1368076878526
156,44.6757132824507
157,56.0047040984937
158,26.4369623796104
159,19.2480379799958
160,65.2708898119018
165,57.2025741642442
166,70.5191045588715
170,51.5739591045563
174,52.5660195968624
177,70.5532398901067
179,55.6661840349486
182,71.7633004071696
186,80.4715936249758
189,43.5805760620728
194,24.7398658457079
196,60.3572318844008
199,51.9871717469834
202,75.0432774897963
204,81.2746994241214
205,41.9368381653522
207,38.4165289393205
212,58.2809235926169
214,35.4279117996245
215,77.369557126366
218,70.0482116681101
221,39.0251702432495
225,61.0352707239077
226,50.0690453280336
227,41.0543240544052
228,63.5818289745348
229,66.7474383170457
230,68.0024028126577
231,41.4437736591031
232,41.8545308893939
238,55.783170254613
239,37.5266304614679
242,64.8741111563297
243,33.122974979019
244,31.4956343717107
245,55.4011121067337
247,68.9349278323357
248,64.9122932791056
249,53.8068701452913
250,46.6085496379257
251,55.2374871976113
255,43.9135458346261
259,66.1893446928764
263,68.8721892591069
264,66.4856199873825
265,64.8834448651601
266,44.1851461044663
267,78.3203662506137
268,64.2976795924488
270,13.49159472906
272,69.6522272669427
276,71.0891780753955
277,45.0729030834258
278,55.7381076545729
283,53.9114100214859
284,61.1620821998136
286,65.1008379596075
288,59.8621368066339
290,75.6703206077247
292,20.5764581830385
300,73.4009817324718
303,64.5759959484985
304,24.4756168759376
306,61.4013519351848
307,69.8965101728612
308,70.0771186014364
309,63.517481629256
310,73.2940829822731
312,33.734805876173
313,67.5835228447152
316,34.284203470779
320,70.3376168538918
